"Stkcd","Reptdt","Shrcr1","Shrcr4"
"000561","2022-12-31","34.0869","52.6502"
"000565","2014-12-31","40.5384","46.1950"
"000565","2015-12-31","40.5471","43.2835"
"000565","2016-12-31","40.5471","44.0604"
"000565","2017-12-31","40.5471","44.3057"
"000565","2018-12-31","40.5471","43.9345"
"000565","2019-12-31","40.5471","44.4994"
"000565","2020-12-31","40.5471","44.3892"
"000565","2021-12-31","40.5471","45.0518"
"000565","2022-12-31","40.5471","44.1442"
"000566","2014-12-31","22.4786","44.0808"
"000566","2015-12-31","29.6076","48.1200"
"000566","2016-12-31","34.0840","51.6396"
"000566","2017-12-31","27.8714","60.3534"
"000566","2018-12-31","24.9896","56.3413"
"000566","2019-12-31","16.9056","52.7061"
"000566","2020-12-31","22.2301","54.3573"
"000566","2021-12-31","22.8918","51.7526"
"000566","2022-12-31","22.8918","52.0097"
"000568","2014-12-31","25.7211","59.1226"
"000568","2015-12-31","26.6098","63.2086"
"000568","2016-12-31","28.1137","63.7248"
"000568","2017-12-31","26.0173","59.6009"
"000568","2018-12-31","26.0173","64.2693"
"000568","2019-12-31","26.0173","63.5027"
"000568","2020-12-31","26.0173","64.0820"
"000568","2021-12-31","26.0173","64.2259"
"000568","2022-12-31","25.8910","64.2642"
"000570","2014-12-31","30.0152","34.8508"
"000570","2015-12-31","30.4334","34.4973"
"000570","2016-12-31","30.4334","37.5704"
"000570","2017-12-31","30.4334","33.0956"
"000570","2018-12-31","30.4334","33.0984"
"000570","2019-12-31","30.4334","33.2765"
"000570","2020-12-31","30.4334","34.4191"
"000570","2021-12-31","32.2610","40.6215"
"000570","2022-12-31","32.2610","35.5237"
"000572","2014-12-31","28.7966","60.9238"
"000572","2015-12-31","28.7966","53.6279"
"000572","2016-12-31","28.7966","53.5317"
"000572","2017-12-31","28.7966","54.1071"
"000572","2018-12-31","28.7966","53.0062"
"000572","2019-12-31","28.7966","51.2127"
"000572","2020-12-31","28.7966","48.7511"
"000572","2021-12-31","28.7966","44.0215"
"000572","2022-12-31","28.7966","42.3519"
"000576","2014-12-31","41.5480","57.1539"
"000576","2015-12-31","41.5480","57.6224"
"000576","2016-12-31","41.5480","57.6209"
"000576","2017-12-31","41.5480","61.0924"
"000576","2018-12-31","41.5480","50.4583"
"000576","2019-12-31","41.5480","53.4173"
"000576","2020-12-31","41.5480","52.0608"
"000576","2021-12-31","41.5480","47.8791"
"000576","2022-12-31","41.7738","49.7309"
"000581","2014-12-31","20.0019","44.2314"
"000581","2015-12-31","20.2249","46.7021"
"000581","2016-12-31","20.2249","46.4968"
"000581","2017-12-31","20.2249","42.9522"
"000581","2018-12-31","20.2249","46.5604"
"000581","2019-12-31","20.2249","47.0843"
"000581","2020-12-31","20.2249","47.5110"
"000581","2021-12-31","20.2308","41.6044"
"000581","2022-12-31","20.2319","41.4159"
"000585","2014-12-31","29.3914","55.9618"
"000585","2015-12-31","29.4233","42.2049"
"000585","2016-12-31","29.4262","45.9784"
"000585","2017-12-31","29.4326","47.0637"
"000585","2018-12-31","29.4306","42.0632"
"000585","2019-12-31","29.4306","42.9016"
"000585","2020-12-31","29.4375","43.1832"
"000585","2021-12-31","29.4393","43.5622"
"000586","2014-12-31","20.6782","36.6456"
"000586","2015-12-31","20.6782","47.6195"
"000586","2016-12-31","20.6782","47.1815"
"000586","2017-12-31","20.6782","54.1031"
"000586","2018-12-31","20.6782","50.6805"
"000586","2019-12-31","20.6782","43.4698"
"000586","2020-12-31","20.6782","48.0862"
"000586","2021-12-31","20.6782","44.8563"
"000586","2022-12-31","20.6782","45.8565"
"000589","2014-12-31","25.2036","59.1885"
"000589","2015-12-31","25.3326","28.7383"
"000589","2016-12-31","25.3326","28.7209"
"000589","2017-12-31","25.3326","29.2261"
"000589","2018-12-31","25.3326","29.4147"
"000589","2019-12-31","25.3326","29.2800"
"000589","2020-12-31","24.6298","28.6581"
"000589","2021-12-31","27.7619","36.2466"
"000589","2022-12-31","27.7637","34.7533"
"000590","2014-12-31","18.6100","49.6323"
"000590","2015-12-31","18.6099","50.5553"
"000590","2016-12-31","18.6099","50.1584"
"000590","2017-12-31","28.9951","57.0266"
"000590","2018-12-31","29.4118","54.9237"
"000590","2019-12-31","29.4118","52.8083"
"000590","2020-12-31","29.4118","51.7513"
"000590","2021-12-31","29.4118","53.4458"
"000590","2022-12-31","29.4118","49.5655"
"000595","2014-12-31","29.9703","34.7244"
"000595","2015-12-31","53.4251","57.2225"
"000595","2016-12-31","54.4270","57.9505"
"000595","2017-12-31","53.0455","55.1436"
"000595","2018-12-31","52.9945","56.1169"
"000595","2019-12-31","52.1296","54.4647"
"000595","2020-12-31","34.6902","68.0005"
