"Stkcd","ShortName","Accper","Typrep","F081602C"
"000400","许继电气","2021-12-31","A","0.071440"
"000400","许继电气","2021-12-31","B","0.075628"
"000400","许继电气","2022-12-31","A","0.244085"
"000400","许继电气","2022-12-31","B","0.292970"
"000401","冀东水泥","2014-12-31","A","-0.002928"
"000401","冀东水泥","2014-12-31","B","-0.002860"
"000401","冀东水泥","2015-12-31","A","-0.290875"
"000401","冀东水泥","2015-12-31","B","-0.290405"
"000401","冀东水泥","2016-12-31","A","0.110450"
"000401","冀东水泥","2016-12-31","B","-0.010430"
"000401","冀东水泥","2017-12-31","A","0.239523"
"000401","冀东水泥","2017-12-31","B","0.172207"
"000401","冀东水泥","2018-12-31","A","1.017603"
"000401","冀东水泥","2018-12-31","B","-0.432988"
"000401","冀东水泥","2019-12-31","A","0.118594"
"000401","冀东水泥","2019-12-31","B","0.559020"
"000401","冀东水泥","2020-12-31","A","0.028186"
"000401","冀东水泥","2020-12-31","B","0.420338"
"000401","冀东水泥","2021-12-31","A","0.024181"
"000401","冀东水泥","2021-12-31","B","0.914761"
"000401","冀东水泥","2022-12-31","A","-0.049368"
"000401","冀东水泥","2022-12-31","B","0.447317"
"000403","ST 生化","2014-12-31","A","0.024659"
"000403","ST 生化","2014-12-31","B",""
"000403","ST 生化","2015-12-31","A","0.022010"
"000403","ST 生化","2015-12-31","B",""
"000403","ST 生化","2016-12-31","A","0.121824"
"000403","ST 生化","2016-12-31","B",""
"000403","ST 生化","2017-12-31","A","0.221242"
"000403","ST 生化","2017-12-31","B",""
"000403","振兴生化","2018-12-31","A","0.254553"
"000403","振兴生化","2018-12-31","B",""
"000403","双林生物","2019-12-31","A","0.064911"
"000403","双林生物","2019-12-31","B",""
"000403","双林生物","2020-12-31","A","0.146650"
"000403","双林生物","2020-12-31","B",""
"000403","派林生物","2021-12-31","A","0.877954"
"000403","派林生物","2021-12-31","B",""
"000403","派林生物","2022-12-31","A","0.219834"
"000403","派林生物","2022-12-31","B",""
"000404","华意压缩","2014-12-31","A","0.043652"
"000404","华意压缩","2014-12-31","B","-0.030767"
"000404","华意压缩","2015-12-31","A","-0.020955"
"000404","华意压缩","2015-12-31","B","-0.055711"
"000404","华意压缩","2016-12-31","A","0.015888"
"000404","华意压缩","2016-12-31","B","-0.140952"
"000404","华意压缩","2017-12-31","A","0.164969"
"000404","华意压缩","2017-12-31","B","0.100070"
"000404","长虹华意","2018-12-31","A","0.098187"
"000404","长虹华意","2018-12-31","B","0.070803"
"000404","长虹华意","2019-12-31","A","0.076132"
"000404","长虹华意","2019-12-31","B","0.031310"
"000404","长虹华意","2020-12-31","A","0.090078"
"000404","长虹华意","2020-12-31","B","0.377932"
"000404","长虹华意","2021-12-31","A","0.262707"
"000404","长虹华意","2021-12-31","B","0.180919"
"000404","长虹华意","2022-12-31","A","-0.007847"
"000404","长虹华意","2022-12-31","B","0.088535"
"000408","金谷源","2014-12-31","A","-0.705903"
"000408","金谷源","2014-12-31","B","-0.688924"
"000408","金谷源","2015-12-31","A","1.116737"
"000408","金谷源","2015-12-31","B","1.156779"
"000408","*ST 金源","2016-12-31","A","20.708093"
"000408","*ST 金源","2016-12-31","B",""
"000408","藏格控股","2017-12-31","A","0.219101"
"000408","藏格控股","2017-12-31","B",""
"000408","藏格控股","2018-12-31","A","-0.155242"
"000408","藏格控股","2018-12-31","B",""
"000408","藏格控股","2019-12-31","A","-0.246966"
"000408","藏格控股","2019-12-31","B",""
"000408","*ST 藏格","2020-12-31","A","-0.057006"
"000408","*ST 藏格","2020-12-31","B",""
"000408","藏格矿业","2021-12-31","A","0.903136"
"000408","藏格矿业","2021-12-31","B",""
"000408","藏格矿业","2022-12-31","A","1.261891"
"000408","藏格矿业","2022-12-31","B",""
"000410","沈阳机床","2014-12-31","A","0.059070"
"000410","沈阳机床","2014-12-31","B","0.065312"
"000410","沈阳机床","2015-12-31","A","-0.183116"
"000410","沈阳机床","2015-12-31","B","-0.003001"
"000410","沈阳机床","2016-12-31","A","-0.021947"
