"Symbol","ShortName","EndDate","EquityNature"
"000553","沙隆达A","2016-12-31","国企"
"000553","沙隆达A","2017-12-31","国企"
"000553","沙隆达A","2018-12-31","国企"
"000553","安道麦A","2019-12-31","国企"
"000553","安道麦A","2020-12-31","国企"
"000553","安道麦A","2021-12-31","国企"
"000553","安道麦A","2022-12-31","国企"
"000559","万向钱潮","2014-12-31","民营"
"000559","万向钱潮","2015-12-31","民营"
"000559","万向钱潮","2016-12-31","民营"
"000559","万向钱潮","2017-12-31","民营"
"000559","万向钱潮","2018-12-31","民营"
"000559","万向钱潮","2019-12-31","民营"
"000559","万向钱潮","2020-12-31","民营"
"000559","万向钱潮","2021-12-31","民营"
"000559","万向钱潮","2022-12-31","民营"
"000561","烽火电子","2014-12-31","国企"
"000561","烽火电子","2015-12-31","国企"
"000561","烽火电子","2016-12-31","国企"
"000561","烽火电子","2017-12-31","国企"
"000561","烽火电子","2018-12-31","国企"
"000561","烽火电子","2019-12-31","国企"
"000561","烽火电子","2020-12-31","国企"
"000561","烽火电子","2021-12-31","国企"
"000561","烽火电子","2022-12-31","国企"
"000565","渝三峡A","2014-12-31","国企"
"000565","渝三峡A","2015-12-31","国企"
"000565","渝三峡A","2016-12-31","国企"
"000565","渝三峡A","2017-12-31","国企"
"000565","渝三峡A","2018-12-31","国企"
"000565","渝三峡A","2019-12-31","国企"
"000565","渝三峡A","2020-12-31","国企"
"000565","渝三峡A","2021-12-31","国企"
"000565","渝三峡A","2022-12-31","国企"
"000566","海南海药","2014-12-31","民营"
"000566","海南海药","2015-12-31","民营"
"000566","海南海药","2016-12-31","民营"
"000566","海南海药","2017-12-31","民营"
"000566","海南海药","2018-12-31","民营"
"000566","海南海药","2019-12-31","民营"
"000566","海南海药","2020-12-31","国企"
"000566","海南海药","2021-12-31","国企"
"000566","海南海药","2022-12-31","国企"
"000568","泸州老窖","2014-12-31","国企"
"000568","泸州老窖","2015-12-31","国企"
"000568","泸州老窖","2016-12-31","国企"
"000568","泸州老窖","2017-12-31","国企"
"000568","泸州老窖","2018-12-31","国企"
"000568","泸州老窖","2019-12-31","国企"
